iter	Passed	Remaining
0	145	145516
1	146	73341
2	148	49249
3	149	37250
4	151	30083
5	154	25635
6	157	22313
7	158	19684
8	160	17648
9	161	15988
10	162	14637
11	164	13511
12	165	12556
13	168	11900
14	171	11258
15	172	10620
16	174	10067
17	175	9565
18	176	9121
19	177	8720
20	179	8388
21	183	8172
22	186	7916
23	187	7626
24	188	7348
25	189	7093
26	190	6859
27	191	6637
28	192	6432
29	193	6243
30	194	6066
31	196	5929
32	198	5830
33	199	5678
34	200	5534
35	201	5400
36	202	5267
37	203	5142
38	203	5023
39	204	4913
40	205	4805
41	206	4706
42	207	4610
43	207	4518
44	210	4466
45	212	4414
46	213	4332
47	214	4253
48	215	4178
49	215	4103
50	216	4033
51	217	3965
52	218	3901
53	219	3839
54	219	3778
55	220	3721
56	221	3664
57	223	3623
58	224	3587
59	225	3538
60	226	3488
61	227	3439
62	228	3391
63	228	3345
64	229	3301
65	230	3258
66	230	3216
67	231	3175
68	232	3136
69	233	3097
70	233	3060
71	234	3024
72	235	2992
73	237	2974
74	238	2942
75	239	2911
76	241	2889
77	241	2857
78	242	2826
79	243	2796
80	244	2768
81	244	2740
82	245	2708
83	245	2681
84	246	2655
85	247	2628
86	248	2603
87	248	2579
88	249	2555
89	250	2536
90	251	2516
91	252	2493
92	253	2471
93	254	2448
94	254	2427
95	255	2406
96	256	2386
97	257	2366
98	257	2346
99	258	2327
100	259	2308
101	260	2289
102	260	2271
103	261	2254
104	262	2236
105	263	2219
106	263	2203
107	265	2192
108	266	2177
109	267	2160
110	267	2146
111	268	2130
112	269	2115
113	270	2100
114	270	2085
115	271	2070
116	272	2054
117	273	2040
118	273	2026
119	274	2012
120	275	1999
121	275	1985
122	276	1972
123	277	1959
124	278	1946
125	279	1936
126	279	1924
127	280	1913
128	281	1901
129	282	1889
130	283	1877
131	283	1866
132	284	1856
133	285	1845
134	286	1834
135	287	1824
136	287	1813
137	288	1803
138	289	1792
139	290	1782
140	290	1772
141	291	1760
142	292	1750
143	292	1740
144	293	1732
145	294	1724
146	295	1714
147	296	1705
148	296	1696
149	297	1687
150	298	1678
151	299	1670
152	300	1661
153	300	1653
154	301	1644
155	302	1636
156	303	1627
157	303	1619
158	304	1611
159	305	1603
160	305	1594
161	306	1586
162	307	1581
163	308	1574
164	309	1566
165	310	1559
166	311	1551
167	311	1544
168	312	1538
169	313	1530
170	314	1523
171	314	1516
172	315	1509
173	316	1501
174	317	1495
175	317	1488
176	318	1482
177	319	1475
178	320	1469
179	321	1462
180	321	1456
181	322	1451
182	323	1444
183	324	1438
184	325	1432
185	325	1426
186	326	1420
187	327	1413
188	328	1408
189	328	1402
190	329	1396
191	330	1390
192	331	1384
193	331	1379
194	332	1373
195	333	1367
196	334	1362
197	334	1356
198	335	1351
199	336	1345
200	337	1341
201	338	1336
202	338	1330
203	339	1325
204	340	1320
205	341	1315
206	342	1310
207	342	1305
208	343	1299
209	344	1294
210	344	1290
211	345	1285
212	346	1280
213	347	1275
214	348	1271
215	349	1267
216	351	1268
217	354	1273
218	355	1269
219	356	1264
220	358	1262
221	358	1258
222	359	1254
223	360	1249
224	361	1245
225	362	1240
226	363	1236
227	363	1232
228	364	1228
229	365	1224
230	368	1226
231	369	1222
232	370	1219
233	371	1215
234	372	1211
235	372	1207
236	373	1203
237	374	1199
238	375	1194
239	376	1190
240	376	1186
241	377	1182
242	378	1178
243	379	1174
244	379	1170
245	381	1168
246	383	1169
247	386	1170
248	386	1166
249	387	1163
250	388	1159
251	389	1155
252	389	1151
253	390	1147
254	391	1143
255	392	1139
256	392	1136
257	393	1132
258	394	1128
259	395	1125
260	399	1130
261	401	1131
262	402	1128
263	403	1125
264	404	1121
265	405	1118
266	406	1114
267	406	1111
268	407	1107
269	408	1103
270	409	1100
271	409	1097
272	413	1102
273	414	1099
274	417	1100
275	418	1096
276	418	1092
277	419	1089
278	420	1086
279	421	1083
280	422	1079
281	422	1076
282	423	1073
283	424	1069
284	426	1069
285	428	1068
286	430	1069
287	431	1066
288	432	1062
289	432	1059
290	433	1056
291	434	1053
292	435	1050
293	435	1046
294	436	1043
295	437	1040
296	438	1037
297	438	1034
298	442	1038
299	445	1038
300	445	1035
301	446	1032
302	447	1029
303	448	1026
304	449	1023
305	449	1020
306	450	1016
307	451	1013
308	451	1010
309	452	1007
310	453	1004
311	457	1008
312	458	1005
313	459	1004
314	460	1001
315	461	998
316	462	995
317	463	993
318	463	990
319	464	987
320	465	984
321	466	981
322	466	978
323	467	975
324	471	979
325	474	980
326	475	978
327	476	975
328	476	972
329	477	969
330	478	966
331	479	963
332	479	961
333	480	958
334	481	955
335	482	952
336	482	949
337	486	952
338	488	953
339	489	950
340	490	947
341	491	945
342	491	942
343	492	939
344	493	936
345	494	934
346	494	931
347	495	928
348	496	925
349	497	923
350	497	920
351	501	923
352	502	921
353	503	919
354	504	917
355	505	914
356	506	911
357	507	909
358	507	906
359	508	904
360	509	901
361	509	898
362	510	896
363	511	893
364	512	891
365	513	889
366	515	889
367	518	889
368	518	887
369	519	884
370	520	882
371	521	879
372	521	877
373	522	874
374	523	872
375	524	869
376	524	867
377	525	864
378	526	862
379	526	859
380	530	861
381	532	861
382	533	858
383	534	856
384	534	854
385	535	851
386	536	849
387	536	846
388	537	844
389	538	842
390	539	839
391	539	837
392	540	835
393	541	832
394	542	830
395	545	832
396	546	829
397	547	827
398	547	825
399	548	822
400	549	820
401	550	818
402	550	816
403	551	813
